,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
12701,40,1.28,0.0,0.02,0.02,0.2,9,0.4362133224224052
9285,40,0.32,0.0,0.2,2.0,0.2,9,0.42204854596850516
17174,50,0.32,0.2,0.02,0.02,0.02,9,0.2641259617740385
18544,50,0.64,0.02,0.02,0.2,0.02,5,0.3702910932208284
34537,70,1.28,0.02,0.0,0.02,0.02,15,0.33906151138020457
3972,30,0.64,0.0,2.0,0.02,2.0,9,0.4262375639081986
55591,100,1.28,0.0,0.0,0.02,0.02,11,0.4164132485905471
18015,50,0.64,0.0,0.0,2.0,0.02,11,0.42106907308264274
38976,80,0.32,2.0,0.0,0.0,0.0,3,0.1681269462459708
44301,90,0.16,0.2,2.0,0.2,0.0,13,0.2536411520097825
8906,40,0.16,2.0,2.0,0.2,0.0,7,0.26723611539770314
21613,60,0.16,0.0,0.0,2.0,2.0,11,0.39457027748120965
34042,70,0.64,2.0,2.0,2.0,2.0,5,0.38607956779127534
37069,80,0.16,0.2,0.2,2.0,2.0,11,0.3908008694486552
36348,80,0.16,0.02,0.0,0.2,0.0,11,0.2680271515739703
37924,80,0.32,0.0,0.2,0.2,0.02,13,0.36341225289615575
26367,60,0.64,0.2,2.0,0.02,0.2,13,0.35543505523768654
57626,110,0.16,0.0,0.2,0.2,0.0,7,0.15562237330148274
31545,70,0.32,0.2,0.02,0.2,0.2,9,0.41534630577979476
43942,90,0.16,0.2,0.0,0.02,0.02,9,0.22799868843812604
55225,100,0.64,2.0,0.02,0.0,0.02,7,0.27142698450485736
13072,40,1.28,0.02,0.0,0.2,2.0,9,0.41414559514646687
4966,30,0.64,2.0,0.0,0.02,0.02,9,0.3101813008404268
6166,30,1.28,0.02,2.0,0.0,0.0,15,0.25930482632292573
15373,50,0.16,0.2,0.02,0.02,0.0,5,0.19233121507605358
57183,100,1.28,2.0,0.2,0.2,0.02,3,0.38183680018497157
29008,70,0.16,0.0,2.0,0.0,0.0,3,0.19925261708558636
40740,80,0.64,0.2,2.0,2.0,0.0,3,0.24562168556711966
7148,30,1.28,2.0,2.0,2.0,0.02,5,0.398002586830911
39099,80,0.32,2.0,0.02,0.0,0.02,11,0.2069655711031454
27967,60,1.28,0.2,0.02,0.2,2.0,7,0.4113217022431914
46309,90,0.32,2.0,0.02,0.02,2.0,11,0.3799185850215408
63261,110,1.28,0.02,0.0,2.0,0.02,7,0.3977208709556151
62033,110,0.64,0.2,0.02,2.0,0.02,15,0.4363606461846292
45150,90,0.32,0.0,2.0,0.0,0.2,3,0.3260388921225297
22379,60,0.16,0.02,2.0,2.0,0.02,3,0.2917334214120426
14599,50,0.16,0.0,0.2,0.02,0.02,11,0.22284991542781749
61245,110,0.64,0.0,0.2,2.0,0.02,7,0.3489627320326467
20187,50,1.28,0.02,0.0,0.0,2.0,15,0.4521130415240247
50434,100,0.16,0.0,0.2,0.02,0.0,15,0.1917023150568305
10981,40,0.64,0.0,0.2,0.0,0.0,13,0.29815699740689444
18997,50,0.64,0.2,0.02,0.2,0.02,15,0.3985500858736723
57031,100,1.28,2.0,0.02,0.0,2.0,7,0.44759190294264395
55629,100,1.28,0.0,0.0,0.2,2.0,3,0.40639657038345006
14601,50,0.16,0.0,0.2,0.02,0.02,15,0.24404606876569063
28263,60,1.28,2.0,0.0,0.02,0.02,11,0.4035276929120178
57793,110,0.16,0.02,0.0,0.0,0.0,5,0.21788314605379297
56679,100,1.28,0.2,0.2,0.0,0.02,3,0.2430464176701927
58494,110,0.16,0.2,0.2,0.02,0.0,7,0.22209360773357065
38286,80,0.32,0.02,0.02,2.0,0.02,9,0.3032528442945372
48925,90,1.28,0.02,0.0,2.0,0.02,7,0.41523574601852636
22743,60,0.16,0.2,2.0,0.0,0.02,3,0.1940012450147499
43966,90,0.16,0.2,0.0,0.2,0.0,15,0.24409126495466832
60124,110,0.32,0.2,0.0,2.0,0.02,5,0.34298721130136717
29713,70,0.16,0.2,0.02,0.02,0.0,13,0.18383288376085347
14730,50,0.16,0.0,2.0,0.2,0.0,7,0.2565060406565399
32804,70,0.64,0.02,0.0,2.0,0.2,7,0.4019417193552467
3080,30,0.32,0.2,2.0,0.2,0.0,3,0.24206736669125078
30025,70,0.16,2.0,0.0,0.0,0.02,7,0.17635184582214555
27693,60,1.28,0.02,2.0,0.02,0.0,5,0.3178623396752933
50417,100,0.16,0.0,0.2,0.0,0.2,9,0.21314083206939816
3251,30,0.32,2.0,0.02,0.0,0.0,9,0.36167509720102653
67956,120,0.32,2.0,0.2,2.0,0.0,3,0.3706647501286187
4300,30,0.64,0.02,0.2,0.02,0.2,7,0.3889140449448525
12859,40,1.28,0.0,0.2,2.0,0.02,3,0.42656718329637777
57233,100,1.28,2.0,2.0,0.0,0.0,5,0.41346589753880136
34148,70,1.28,0.0,0.0,2.0,0.2,7,0.38850617662209896
60367,110,0.32,0.2,0.2,2.0,2.0,15,0.40249200460620044
50507,100,0.16,0.0,0.2,2.0,2.0,7,0.38572369949643204
48565,90,1.28,0.0,0.02,0.2,0.02,15,0.4441278874123281
54116,100,0.64,0.0,2.0,0.0,0.2,15,0.36452063106235494
36448,80,0.16,0.02,0.02,0.02,0.2,15,0.29162697743395144
1852,30,0.32,0.0,0.0,0.2,0.0,11,0.3887283317840917
7719,40,0.16,0.02,0.0,2.0,0.2,13,0.44522325027186155
15545,50,0.16,0.2,0.2,2.0,0.0,13,0.27627094236941846
67220,120,0.32,0.2,0.0,0.0,0.2,15,0.23945483262729178
8652,40,0.16,2.0,0.02,0.02,0.0,3,0.2615210455097605
48789,90,1.28,0.0,2.0,0.2,0.02,15,0.4473302376413436
100,30,0.16,0.0,0.0,2.0,0.2,7,0.38352533753996915
49410,90,1.28,0.2,0.02,0.0,0.2,11,0.32509628620566344
1974,30,0.32,0.0,0.02,0.2,0.2,3,0.38049149729861065
6031,30,1.28,0.02,0.02,2.0,0.02,11,0.440919148410583
65459,120,0.16,0.2,0.0,0.02,2.0,7,0.40581320658314435
53553,100,0.32,2.0,0.2,0.0,0.2,9,0.2505613947633979
25452,60,0.64,0.0,2.0,0.02,0.0,3,0.2224235558097202
3720,30,0.64,0.0,0.02,0.0,2.0,9,0.4173489419578466
23077,60,0.16,2.0,0.2,0.0,0.0,13,0.2683481176281418
54378,100,0.64,0.02,0.02,0.2,0.0,7,0.26311089066573395
59407,110,0.32,0.0,0.2,0.02,0.2,13,0.4024679795826681
17576,50,0.32,2.0,0.0,2.0,0.2,15,0.37166481301923115
19361,50,0.64,2.0,0.0,2.0,0.02,15,0.3824834867974102
27135,60,1.28,0.0,0.2,0.02,0.0,9,0.17507794137284916
54426,100,0.64,0.02,0.02,2.0,2.0,5,0.40033829167363627
12439,40,0.64,2.0,2.0,0.0,0.02,3,0.38398600036327246
7346,40,0.16,0.0,0.02,0.2,0.02,9,0.22816387085298168
18988,50,0.64,0.2,0.02,0.2,0.0,11,0.23638573732997092
47489,90,0.64,0.2,0.0,0.0,0.0,5,0.2806351452210123
42299,80,1.28,0.2,0.02,0.2,0.2,13,0.4328240558062429
42051,80,1.28,0.02,2.0,0.02,2.0,7,0.3988912198105502
53420,100,0.32,2.0,0.0,2.0,2.0,9,0.38194886330481304
