,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
5220,60.0,0.16,0.02,0.2,0.02,0.0,0.42674812001477197
2565,30.0,0.64,0.0,0.0,0.02,0.02,0.41664374546606014
9099,90.0,1.28,0.2,0.0,0.2,2.0,0.3299495570686379
3902,40.0,1.28,0.0,2.0,2.0,0.2,0.364053285736652
5242,60.0,0.16,0.02,2.0,0.2,0.2,0.36691352127322047
1211,20.0,0.16,0.2,2.0,0.2,2.0,0.30624317960369585
8826,90.0,0.64,0.02,2.0,0.2,0.2,0.38909487962750255
7987,80.0,1.28,0.0,2.0,0.0,2.0,0.3242633283462689
8913,90.0,0.64,2.0,0.02,0.0,0.02,0.3912608587633818
2813,30.0,0.64,2.0,2.0,2.0,0.02,0.3514209140427283
4931,50.0,1.28,0.02,0.0,0.0,2.0,0.38973686456051726
1048,20.0,0.16,0.0,0.02,0.2,0.0,0.3974327965410155
2197,30.0,0.16,0.2,0.02,0.02,0.02,0.4213237229177167
6712,70.0,0.64,0.0,2.0,0.2,0.0,0.42476458126672684
3297,40.0,0.16,2.0,0.2,0.0,0.02,0.43800831123967515
3861,40.0,1.28,0.0,0.02,0.02,0.02,0.42673065213164957
2377,30.0,0.32,0.02,0.0,0.2,0.02,0.406498450792264
